category,avg_rating,n_loved,n_reviews,n_sold,name,price,rate_1,rate_2,rate_3,rate_4,rate_5,rate_with_cmt,rate_with_imgvid,shop_age,shop_follower,shop_n_product,shop_n_review,shop_name,shop_rate_feedback,shop_time_feedback
Điện thoại,4.6,Đã thích (56),4.6,19,Điện Thoại Pixel 3xl rom 4 bộ nhớ 64gb chip snapdragon 845 cực mượt,₫3.160.000 - ₫3.412.000,1 Sao (0),2 Sao (1),3 Sao (1),4 Sao (0),5 Sao (10),Có Bình luận (6),Có hình ảnh / video (3),19 tháng trước,"5,1k",65,284,hoanglamphong88,77%,trong vài giờ
Điện thoại,5.0,Đã thích (14),5.0,18,Điện Thoại Samsung Galaxy S7 Hàn Ram 4gb/32gb Chính Hãng mới - chơi LIÊN QUÂN mướt bảo hành lâu dài,₫1.799.000 - ₫2.149.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (17),Có Bình luận (16),Có hình ảnh / video (13),6 năm trước,"1,3k",78,818,dienthoaihan_198,53%,trong vài giờ
Điện thoại,5.0,"Đã thích (3,8k)",5.0,180,"GIÁ RẺ HỦY DIỆT "" Điện Thoại "" HTC 10 - RAM: 4 GB Bộ nhớ trong: 32 GB -Chơi PUBG-Free Fire mượt- FULLBOX !!",₫1.890.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (7),Có Bình luận (6),Có hình ảnh / video (4),4 năm trước,"27,9k",466,"1,6k",annhien_mobile,9%,trong vài giờ
Điện thoại,4.5,Đã thích (11),4.5,59,Điện Thoại 101 (2 SIM),₫145.000 - ₫169.000,1 Sao (1),2 Sao (0),3 Sao (1),4 Sao (0),5 Sao (11),Có Bình luận (6),Có hình ảnh / video (4),20 tháng trước,438,82,979,anhbinhminhv,48%,trong vài giờ
Điện thoại,4.9,Đã thích (144),4.9,30,Điện Thoại LG V50 ThinQ 5G (bản 3 camera) Ram 6G bộ nhớ 128G mới CHÍNH HẢNG - Chiến PUBG/Free,₫4.399.000 - ₫4.499.000,,,,,,,,6 năm trước,"1,3k",78,818,dienthoaihan_198,53%,trong vài giờ
Điện thoại,4.7,Đã thích (109),4.7,84,Máy điện thoại mini hình chai cocacola siêu lạ,₫265.000 - ₫275.000,1 Sao (1),2 Sao (0),3 Sao (1),4 Sao (2),5 Sao (23),Có Bình luận (14),Có hình ảnh / video (9),4 năm trước,"4,8k",165,"2,6k",vuthuha1207_94,30%,trong vài giờ
Điện thoại,5.0,"Đã thích (3,3k)",5.0,"1,7k",Điện Thoại NOKIA E72 Wifi Main Zin Chính Hãng – OHNO BH 24 Tháng Phụ Kiện PIN + SẠC,₫899.000,,,,,,,,32 tháng trước,"5,8k",173,582,ohnovn,57%,trong vài ngày
Điện thoại,4.3,Đã thích (62),4.3,44,[Mã 11ELSALE hoàn 7% xu đơn 300k] Điện Thoại Nắp Trượt Nokia N95 8G Chính Hãng Có WiFi 3G Bảo Hành Uy Tín,₫780.000 - ₫850.000,1 Sao (3),2 Sao (0),3 Sao (1),4 Sao (4),5 Sao (16),Có Bình luận (16),Có hình ảnh / video (11),4 năm trước,"18,2k",351,"22,9k",alofonevietnam,97%,trong vài giờ
Điện thoại,4.7,Đã thích (24),4.7,59,"[Chính Hãng] Điện Thoại Nokia 1202 bản Ấn Độ xách tay ZIN Trùng IMEI, vỏ+phím+máy tiếng Ấn",₫319.000 - ₫369.000,,,,,,,,4 năm trước,"8,5k","1,9k","14,1k",shoptichuot,100%,trong vài giờ
Điện thoại,5.0,Đã thích (19),5.0,7,[Mã 11ELSALE hoàn 7% đơn 300K] Điện thoại Vivo Y79 màn 5.9 inch - Snap 625 ram 4G 64G,₫1.398.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (3),Có Bình luận (2),Có hình ảnh / video (0),4 năm trước,"62,5k",534,"24,3k",thelinhstore,94%,trong vài giờ
Điện thoại,4.6,Đã thích (30),4.6,304,"Điện thoại Vivo Y53 Ram 2Gb, ROm 16Gb (2 sim) - Bảo hành 12 tháng - fullbox đầy đủ phụ kiện tặng kèm ốp - hàng nhập khâu",₫890.000 - ₫960.000,1 Sao (0),2 Sao (0),3 Sao (1),4 Sao (0),5 Sao (4),Có Bình luận (4),Có hình ảnh / video (3),3 năm trước,"1,3k",176,503,fptshopp,26%,trong vài giờ
Điện thoại,4.9,Đã thích (2),4.9,43,sản phẩm khách chọn live A220,₫220.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (1),5 Sao (18),Có Bình luận (12),Có hình ảnh / video (10),5 năm trước,"30,7k",137,"5,9k",tuoinguyen912_vn,57%,trong vài giờ
